tanggal,reg,nearend,farend,speed,utz(%),tahun,tren,port_use,port_abandoned,speed list
2023-04-30 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0.76357,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2023-05-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2023-06-30 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0.76325,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2023-07-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0.76408,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2023-08-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,10.21031857,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2023-09-30 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,-0.000288192,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2023-10-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,-0.001737405,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2023-11-30 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,-0.001448166,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2023-12-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0.172126174,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2024-01-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,9.927960396,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2024-02-29 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,9.884468079,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2024-03-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,9.897919655,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2024-04-30 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,9.884289742,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2024-05-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,9.899493217,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2024-06-30 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,9.892613411,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2024-07-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,8.526117325,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2024-08-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,9.956786156,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2024-09-30 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,19.62806702,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2024-10-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,6.656098843,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
